"date","province","new_cases","accu_cases","incidence","positivity","recovered","new_deaths","accu_deaths","processed"
"2021-09-08","Distrito Nacional","40","95188","9124.74","6","93798","0","641","490220"
"2021-09-08","Azua","6","4528","2037.29","5.79","4415","0","40","24782"
"2021-09-08","Baoruco","0","1990","1970.2","2.09","1950","0","14","10978"
"2021-09-08","Barahona","1","4796","2535.19","1.89","4695","0","32","27559"
"2021-09-08","Dajabén","10","1608","2419.25","7.13","1542","0","15","9278"
"2021-09-08","Duarte","7","8373","2801.15","3.14","8018","0","236","57732"
"2021-09-08","Elias Pifia","0","523","824.9","0.44","504","0","6","5986"
"2021-09-08","El Seibo","0","1227","1312.19","4.74","1179","0","16","8296"
"2021-09-08","Espaillat","7","7342","3061.14","7.4","7022","0","133","42048"
"2021-09-08","Independencia","0","1359","2326.1","0.67","1337","0","13","11592"
"2021-09-08","La Altagracia","10","12220","3457.78","2.89","11974","0","90","79175"
"2021-09-08","LaRomana","0","12792","4692.64","3.88","12457","0","204","78491"
"2021-09-08","La Vega","7","12126","2948.28","9.03","11604","0","215","65429"
"2021-09-08","Maria Trinidad Sanche","13","4431","3140.39","7.39","4295","0","32","25202"
"2021-09-08","Monte Cristi","4","1748","1491.2","6.39","1663","0","31","11594"
"2021-09-08","Pedernales","0","923","2637.37","4.07","912","0","4","4812"
"2021-09-08","Peravia","0","3161","1601.04","7.42","3049","0","66","19784"
"2021-09-08","Puerto Plata","12","8971","2692.21","4.92","8561","0","158","66053"
"2021-09-08","Hermanas Mirabal","8","3384","3672.35","3.89","3272","0","50","35362"
"2021-09-08","Samana","0","1152","1027.1","3.45","1121","0","10","10061"
"2021-09-08","San Cristébal","3","12021","1885.86","9.25","11613","0","213","60133"
"2021-09-08","San Juan","4","5665","2554.84","2.95","5524","0","73","31191"
"2021-09-08","San Pedro de Macoris","1","5859","1921.2","3.92","5713","0","63","40574"
"2021-09-08","Sanchez Ramirez","3","3732","2455.62","9.63","3601","0","38","20039"
"2021-09-08","Santiago","48","35778","3423.18","7.92","34390","1","609","184948"
"2021-09-08","Santiago Rodriguez","6","1704","2975.59","3.45","1663","0","11","12966"
"2021-09-08","Valverde","8","3542","2004.3","4","3392","0","53","29556"
"2021-09-08","Monsefior Nouel","0","3975","2280.84","4.55","3883","0","51","25854"
"2021-09-08","Monte Plata","1","2258","1181.99","3.43","2161","0","36","18555"
"2021-09-08","Hato Mayor","0","1720","2005.55","6.27","1650","0","20","12569"
"2021-09-08","San Jose de Ocoa","0","1417","2604.54","3.63","1354","0","28","8147"
"2021-09-08","Santo Domingo","40","76798","2642.74","5.45","75053","0","811","378887"
"2021-09-08","No especificado*e","1","10130","0","0","10038","0","2","76130"
