"date,""province"",""new_cases"",""accu_cases"",""incidence"",""positivity"",""recovered"",""new_deaths"",""accu_deaths"",""processed"""
"2021-10-09,""Distrito Nacional"",""57"",""97170"",""9314.73"",""9.79"",""95354"",""0"",""647"",""502623"""
"2021-10-09,""Azua"",""6"",""4615"",""2076.43"",""11.56"",""4505"",""0"",""40"",""25346"""
"2021-10-09,""Baoruco"",""1"",""2021"",""2000.89"",""2.68"",""1977"",""0"",""15"",""12477"""
"2021-10-09,""Barahona"",""10"",""4864"",""2571.14"",""3.97"",""4753"",""0"",""33"",""29137"""
"2021-10-09,""Dajabén"",""3"",""1880"",""2828.47"",""15.88"",""1739"",""0"",""16"",""10871"""
"2021-10-09,""Duarte"",""9"",""8616"",""2882.44"",""5.73"",""8228"",""0"",""236"",""61056"""
"2021-10-09,""Elias Pifa"",""0"",""561"",""884.83"",""5.03"",""522"",""0"",""6"",""6658"""
"2021-10-09,""El Seibo"",""0"",""1252"",""1338.92"",""10.96"",""1190"",""0"",""16"",""8431"""
"2021-10-09,""Espaillat"",""10"",""7562"",""3152.87"",""3.89"",""7293"",""0"",""134"",""45385"""
"2021-10-09,""Independencia"",""0"",""1408"",""2409.97"",""6.99"",""1362"",""0"",""13"",""12164"""
"2021-10-09,""La Altagracia"",""15"",""12916"",""3654.72"",""9.42"",""12411"",""0"",""91"",""85921"""
"2021-10-09,""LaRomana"",""5"",""13176"",""4833.51"",""13.87"",""12729"",""0"",""204"",""80493"""
"2021-10-09,""La Vega"",""27"",""12657"",""3077.39"",""7.02"",""12133"",""0"",""216"",""71473"""
"2021-10-09,""Maria Trinidad Sanche"",""3"",""4632"",""3282.85"",""6.99"",""4499"",""0"",""32"",""27472"""
"2021-10-09,""Monte Cristi"",""0"",""2187"",""1865.71"",""20.19"",""1996"",""0"",""33"",""13526"""
"2021-10-09,""Pedernales"",""0"",""1039"",""2968.83"",""27.44"",""940"",""0"",""4"",""5165"""
"2021-10-09,""Peravia"",""28"",""3459"",""1751.98"",""23.77"",""3241"",""0"",""67"",""20884"""
"2021-10-09,""Puerto Plata"",""8"",""9602"",""2881.57"",""7.33"",""9168"",""0"",""160"",""74302"""
"2021-10-09,""Hermanas Mirabal"",""0"",""3472"",""3767.85"",""3.8"",""3373"",""0"",""51"",""36279"""
"2021-10-09,""Samana"",""9"",""1245"",""1110.02"",""7.31"",""1189"",""0"",""10"",""11377"""
"2021-10-09,""San Cristdbal"",""41"",""12608"",""1977.95"",""10.54"",""12099"",""0"",""218"",""64498"""
"2021-10-09,""San Juan"",""0"",""5870"",""2647.29"",""7.25"",""5651"",""0"",""74"",""33731"""
"2021-10-09,""San Pedro de Macoris"",""2"",""6106"",""2002.19"",""8.53"",""5918"",""0"",""63"",""42928"""
"2021-10-09,""Sanchez Ramirez"",""12"",""3926"",""2583.27"",""10.38"",""3782"",""0"",""38"",""21661"""
"2021-10-09,""Santiago"",""119"",""37747"",""3611.57"",""8.28"",""36100"",""0"",""625"",""205254"""
"2021-10-09,""Santiago Rodriguez"",11,""1947"",""3399.92"",""14.25"",""1814"",""0"",""11"",""14586"""
"2021-10-09,""Valverde"",""0"",""4097"",""2318.36"",""9.94"",""3812"",""0"",""53"",""34718"""
"2021-10-09,""Monsefior Nouel"",""9"",""4084"",""2343.38"",""5.59"",""3972"",""0"",""52"",""27129"""
"2021-10-09,""Monte Plata"",""7"",""2356"",""1233.29"",""3.2"",""2252"",""0"",""36"",""20972"""
"2021-10-09,""Hato Mayor"",""3"",""1760"",""2052.19"",""2.67"",""1696"",""0"",""20"",""13630"""
"2021-10-09,""San Jose de Ocoa"",""0"",""1430"",""2628.43"",""3.36"",""1366"",""0"",""28"",""8540"""
"2021-10-09,""Santo Domingo"",""100"",""79035"",""2719.72"",""8.27"",""76800"",""0"",""823"",""402184"""
"2021-10-09,""No especificado*e"",""0"",""10258"",""0"",""0"",""10117"",""0"",""2"",""76433"""
